Year,Street,Cross Reference,AADT,Total Coll,Prop Damage Coll,Total Injury Coll,Major Injury Coll,Minor Injury Coll,Fatal Coll,# of Injuries,# of Fatalities,Collision Rate,Prop Damage Rate,Injury Coll Rate,Minor Inj Rate,Major Inj Rate,Fatal Coll Rate,HSIP Safety Index
2000,"C STREET, ANCHORAGE","WEST 10TH AVENUE, ANCHORAGE",16200,4,2,2,1,1,0,2,0,0.68,0.34,0.34,0.17,0.17,0,0.55
2000,"C STREET, ANCHORAGE","WEST 15TH AVENUE, ANCHORAGE",22600,10,10,0,0,0,0,0,0,1.21,1.21,0,0,0,0,0.66
2000,"C STREET, ANCHORAGE","WEST 16TH AVENUE, ANCHORAGE",19100,4,4,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0
2000,"C STREET, ANCHORAGE","WEST 31ST AVENUE, ANCHORAGE",18100,2,1,1,0,1,0,1,0,0.3,0.15,0.15,0.15,0,0,0
2000,"C STREET, ANCHORAGE","WEST 32ND AVENUE, ANCHORAGE",20400,8,6,2,0,2,0,2,0,1.07,0.81,0.26,0.26,0,0,0.72
2000,"C STREET, ANCHORAGE","WEST 34TH AVENUE, ANCHORAGE",17000,7,5,2,0,2,0,2,0,1.12,0.8,0.32,0.32,0,0,0
2000,"C STREET, ANCHORAGE","WEST 36TH AVENUE, ANCHORAGE",35100,22,13,9,0,9,0,14,0,1.72,1.02,0.7,0.7,0,0,1
2000,"C STREET, ANCHORAGE","WEST 3RD AVENUE, ANCHORAGE",15700,9,7,2,0,2,0,4,0,1.57,1.22,0.35,0.35,0,0,0.85
2000,"C STREET, ANCHORAGE","WEST 4TH AVENUE, ANCHORAGE",18900,6,5,1,0,1,0,1,0,0.86,0.72,0.14,0.14,0,0,0.5
2000,"C STREET, ANCHORAGE","WEST 5TH AVENUE, ANCHORAGE",27600,19,12,7,1,6,0,10,0,1.87,1.18,0.69,0.59,0.1,0,1.01
2000,"C STREET, ANCHORAGE","WEST 64TH AVENUE, ANCHORAGE",17700,3,3,0,0,0,0,0,0,0.46,0.46,0,0,0,0,0.3
2000,"C STREET, ANCHORAGE","WEST 6TH AVENUE, ANCHORAGE",25700,17,10,7,1,6,0,12,0,1.81,1.06,0.75,0.64,0.11,0,0.95
2000,"C STREET, ANCHORAGE","WEST 76TH AVENUE, ANCHORAGE",14400,3,3,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0.28
2000,"C STREET, ANCHORAGE","WEST 7TH AVENUE, ANCHORAGE",15100,11,8,3,1,2,0,5,0,1.98,1.44,0.54,0.36,0.18,0,1.58
2000,"C STREET, ANCHORAGE","WEST 8TH AVENUE, ANCHORAGE",14100,4,4,0,0,0,0,0,0,0.78,0.78,0,0,0,0,0.6
2000,"C STREET, ANCHORAGE","WEST 9TH AVENUE, ANCHORAGE",24600,7,6,1,0,1,0,1,0,0.77,0.66,0.11,0.11,0,0,0.47
2000,"C STREET, ANCHORAGE","WEST BENSON BOULEVARD, ANCHORAGE",40500,28,23,5,1,4,0,6,0,1.88,1.55,0.33,0.26,0.07,0,1.07
2000,"C STREET, ANCHORAGE","WEST DIMOND BOULEVARD, ANCHORAGE",46700,28,20,8,0,8,0,11,0,1.64,1.17,0.47,0.47,0,0,1
2000,"C STREET, ANCHORAGE","WEST FIREWEED LANE, ANCHORAGE",31400,28,19,9,0,9,0,14,0,2.43,1.65,0.78,0.78,0,0,1.53
2000,"C STREET, ANCHORAGE","WEST INTERNATIONAL AIRPORT ROAD, ANCHORAGE",34300,21,15,6,0,6,0,8,0,1.68,1.2,0.48,0.48,0,0,0.98
2000,"C STREET, ANCHORAGE","WEST NORTHERN LIGHTS BOULEVARD, ANCHORAGE",38900,15,7,8,0,8,0,11,0,1.05,0.49,0.56,0.56,0,0,0.6
2000,"C STREET, ANCHORAGE","WEST POTTER DRIVE, ANCHORAGE",25000,8,5,3,0,3,0,4,0,0.88,0.55,0.33,0.33,0,0,0.48
2000,"C STREET, ANCHORAGE","WEST TUDOR ROAD, ANCHORAGE",61700,23,20,3,0,3,0,3,0,1.01,0.88,0.13,0.13,0,0,0.65
2000,"CAMBRIDGE WAY, ANCHORAGE","WEST TUDOR ROAD, ANCHORAGE",26600,3,3,0,0,0,0,0,0,0.31,0.31,0,0,0,0,0.22
2000,"CAMPBELL TERRACE PLACE, ANCHORAGE","WEST DIMOND BOULEVARD, ANCHORAGE",1200,1,1,0,0,0,0,0,0,2.28,2.28,0,0,0,0,0.61
2000,"CARRS MULDOON ACCESS ROAD, ANCHORAGE","MULDOON ROAD, ANCHORAGE",34500,7,3,4,0,4,0,5,0,0.56,0.24,0.32,0.32,0,0,0.32
2000,"CENTERPOINT DRIVE, ANCHORAGE","WEST 36TH AVENUE, ANCHORAGE",17900,6,4,2,0,2,0,3,0,0.93,0.62,0.31,0.31,0,0,0.6
2000,"CHECKMATE DRIVE, ANCHORAGE","EAST 43RD AVENUE, ANCHORAGE",3500,1,1,0,0,0,0,0,0,0.78,0.78,0,0,0,0,0.36
2000,"CHECKMATE DRIVE, ANCHORAGE","WESLEYAN DRIVE, ANCHORAGE",2800,1,1,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0.46
2000,"CHUGACH WAY, ANCHORAGE","SPENARD ROAD, ANCHORAGE",19100,5,4,1,0,1,0,1,0,0.72,0.58,0.14,0.14,0,0,0.6
2000,"COLLIE HILL WAY, ANCHORAGE","EAST NORTHERN LIGHTS BOULEVARD, ANCHORAGE",23500,1,0,1,0,1,0,2,0,0.12,0,0.12,0.12,0,0,0.1
2000,"COLLINS WAY, ANCHORAGE","JEWEL LAKE ROAD, ANCHORAGE",14800,1,1,0,0,0,0,0,0,0.18,0.18,0,0,0,0,0.15
2000,"COLUMBINE STREET, ANCHORAGE","DEBARR ROAD, ANCHORAGE",22900,7,5,1,0,1,1,2,1,0.84,0.6,0.12,0.12,0,0.12,0.58
2000,"COLUMBINE STREET, ANCHORAGE","EAST 15TH AVENUE, ANCHORAGE",1600,1,1,0,0,0,0,0,0,1.71,1.71,0,0,0,0,0.59
2000,"COMMERCIAL DRIVE, ANCHORAGE","MOUNTAIN VIEW DRIVE, ANCHORAGE",18500,3,2,1,0,1,0,3,0,0.45,0.3,0.15,0.15,0,0,0.23
2000,"COMMERCIAL DRIVE, ANCHORAGE","VIKING DRIVE, ANCHORAGE",13800,3,0,3,0,3,0,5,0,0.6,0,0.6,0.6,0,0,0.46
